IATA,CITY,STATE,LATITUDE,LONGITUDE
GFK,Grand Forks,ND,47.94926,-97.17611
GRI,Grand Island,NE,40.96747,-98.30861
JMS,Jamestown,ND,46.92972,-98.6782
FLG,Flagstaff,AZ,35.13845,-111.67122
EAU,Eau Claire,WI,44.86526,-91.48507
ILG,Wilmington,DE,39.67872,-75.60653
PIB,Hattiesburg-Laurel,MS,31.46715,-89.33706
YAK,Yakutat,AK,59.50336,-139.66023
CRW,Charleston,WV,38.37315,-81.59319
CDC,Cedar City,UT,37.70097,-113.09858
BQN,Aguadilla,PR,18.49486,-67.12944
SAF,Santa Fe,NM,35.61678,-106.08814
LCH,Lake Charles,LA,30.1261,-93.2234
LAN,Lansing,MI,42.7787,-84.58736
SPS,Wichita Falls,TX,33.9888,-98.49189
