YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,5,10,7,MQ,3672,N9EAMQ,ORD,TUL,1340,1400.0,20.0,37.0,1437.0,122.0,133.0,90.0,585,1607.0,6.0,1542,1613.0,31.0,False,False,,11.0,0.0,20.0,0.0,0.0
2015,11,2,1,AA,1242,N4WJAA,DEN,DFW,1539,1702.0,83.0,10.0,1712.0,123.0,109.0,89.0,641,1941.0,10.0,1842,1951.0,69.0,False,False,,0.0,0.0,0.0,69.0,0.0
2015,2,5,4,UA,240,N412UA,IAH,LAS,1749,1757.0,8.0,29.0,1826.0,211.0,200.0,165.0,1222,1911.0,6.0,1920,1917.0,-3.0,False,False,,,,,,
2015,8,26,3,AA,1263,N3KFAA,JFK,LAS,725,722.0,-3.0,24.0,746.0,341.0,344.0,308.0,2248,954.0,12.0,1006,1006.0,0.0,False,False,,,,,,
2015,10,27,2,UA,1775,N12754,11618,10721,2148,2144.0,-4.0,10.0,2154.0,72.0,58.0,44.0,200,2238.0,4.0,2300,2242.0,-18.0,False,False,,,,,,
2015,10,13,2,DL,2675,N981AT,10721,12953,730,730.0,0.0,29.0,759.0,79.0,79.0,45.0,184,844.0,5.0,849,849.0,0.0,False,False,,,,,,
2015,1,4,7,MQ,3277,N619MQ,ORD,GRR,745,910.0,85.0,62.0,1012.0,53.0,93.0,27.0,137,1139.0,4.0,938,1143.0,125.0,False,False,,40.0,0.0,0.0,66.0,19.0
2015,5,15,5,EV,2731,N880AS,FSM,DFW,1012,1011.0,-1.0,9.0,1020.0,64.0,62.0,41.0,227,1101.0,12.0,1116,1113.0,-3.0,False,False,,,,,,
2015,10,12,1,WN,2029,N481WN,10800,13796,2010,2009.0,-1.0,7.0,2016.0,70.0,63.0,47.0,325,2103.0,9.0,2120,2112.0,-8.0,False,False,,,,,,
2015,9,6,7,DL,2692,N910AT,LGA,BOS,1800,1759.0,-1.0,10.0,1809.0,79.0,66.0,41.0,184,1850.0,15.0,1919,1905.0,-14.0,False,False,,,,,,
2015,7,1,3,DL,1202,N899AT,ATL,GSO,1949,2220.0,151.0,26.0,2246.0,83.0,80.0,49.0,306,2335.0,5.0,2112,2340.0,148.0,False,False,,0.0,0.0,148.0,0.0,0.0
2015,6,21,7,AA,1015,N548AA,MCI,ORD,1418,1511.0,53.0,18.0,1529.0,92.0,116.0,73.0,403,1642.0,25.0,1550,1707.0,77.0,False,False,,24.0,0.0,0.0,41.0,12.0
2015,6,13,6,UA,598,N420UA,DEN,SFO,845,1003.0,78.0,10.0,1013.0,163.0,138.0,123.0,967,1116.0,5.0,1028,1121.0,53.0,False,False,,0.0,0.0,0.0,53.0,0.0
2015,12,4,5,AA,2285,N3JTAA,MCO,JFK,1845,1844.0,-1.0,15.0,1859.0,159.0,143.0,115.0,944,2054.0,13.0,2124,2107.0,-17.0,False,False,,,,,,
2015,12,28,1,NK,872,N507NK,OAK,ORD,850,,,,,240.0,,,1836,,,1450,,,False,True,B,,,,,
2015,11,11,3,DL,1467,N951DN,MSP,STL,655,651.0,-4.0,14.0,705.0,95.0,83.0,64.0,448,809.0,5.0,830,814.0,-16.0,False,False,,,,,,
2015,5,26,2,OO,4678,N8903A,MSP,XNA,1419,1417.0,-2.0,25.0,1442.0,118.0,120.0,91.0,596,1613.0,4.0,1617,1617.0,0.0,False,False,,,,,,
2015,10,5,1,AA,1187,N003AA,10423,12892,2010,2011.0,1.0,14.0,2025.0,195.0,184.0,165.0,1242,2110.0,5.0,2125,2115.0,-10.0,False,False,,,,,,
2015,1,5,1,DL,2293,N325NB,ATL,ELP,1910,1910.0,0.0,14.0,1924.0,217.0,196.0,180.0,1282,2024.0,2.0,2047,2026.0,-21.0,False,False,,,,,,
2015,2,12,4,US,417,N817AW,STL,PHX,1745,1749.0,4.0,15.0,1804.0,209.0,177.0,158.0,1262,1942.0,4.0,2014,1946.0,-28.0,False,False,,,,,,
2015,3,28,6,NK,631,N516NK,DTW,TPA,1955,1950.0,-5.0,11.0,2001.0,157.0,139.0,123.0,983,2204.0,5.0,2232,2209.0,-23.0,False,False,,,,,,
2015,7,25,6,DL,1468,N330NB,DCA,MSP,1500,1455.0,-5.0,14.0,1509.0,154.0,160.0,142.0,931,1631.0,4.0,1634,1635.0,1.0,False,False,,,,,,
2015,8,29,6,AA,2472,N854AA,SAN,DFW,1225,1241.0,16.0,14.0,1255.0,187.0,174.0,152.0,1171,1727.0,8.0,1732,1735.0,3.0,False,False,,,,,,
2015,8,19,3,AA,1764,N750UW,DCA,MCI,1020,1015.0,-5.0,17.0,1032.0,164.0,161.0,135.0,949,1147.0,9.0,1204,1156.0,-8.0,False,False,,,,,,
2015,9,9,3,UA,751,N814UA,EWR,CLE,1525,1522.0,-3.0,13.0,1535.0,96.0,83.0,67.0,404,1642.0,3.0,1701,1645.0,-16.0,False,False,,,,,,
2015,2,14,6,AA,2419,N862AA,LAX,DFW,1144,1149.0,5.0,19.0,1208.0,181.0,184.0,155.0,1235,1643.0,10.0,1645,1653.0,8.0,False,False,,,,,,
2015,6,26,5,EV,5356,N615QX,RIC,BOS,1729,1723.0,-6.0,15.0,1738.0,101.0,91.0,67.0,474,1845.0,9.0,1910,1854.0,-16.0,False,False,,,,,,
2015,5,15,5,US,1926,N176UW,LAX,PHL,1400,1403.0,3.0,15.0,1418.0,314.0,298.0,277.0,2402,2155.0,6.0,2214,2201.0,-13.0,False,False,,,,,,
2015,7,13,1,WN,429,N8653A,PHX,ABQ,2115,2113.0,-2.0,7.0,2120.0,65.0,59.0,47.0,328,2307.0,5.0,2320,2312.0,-8.0,False,False,,,,,,
2015,12,7,1,VX,755,N624VA,SEA,SFO,1720,1718.0,-2.0,13.0,1731.0,120.0,120.0,97.0,679,1908.0,10.0,1920,1918.0,-2.0,False,False,,,,,,
2015,7,7,2,AA,371,N3BUAA,LGA,ORD,2100,2140.0,40.0,12.0,2152.0,150.0,136.0,115.0,733,2247.0,9.0,2230,2256.0,26.0,False,False,,0.0,0.0,0.0,26.0,0.0
2015,5,22,5,DL,2247,N552NW,ATL,PBI,2259,2253.0,-6.0,25.0,2318.0,101.0,99.0,70.0,545,28.0,4.0,40,32.0,-8.0,False,False,,,,,,
2015,11,10,2,DL,2169,N592NW,MCO,ATL,1330,1328.0,-2.0,14.0,1342.0,94.0,77.0,60.0,404,1442.0,3.0,1504,1445.0,-19.0,False,False,,,,,,
2015,6,16,2,AA,344,N009AA,DFW,ATL,1205,1200.0,-5.0,43.0,1243.0,141.0,160.0,108.0,731,1531.0,9.0,1526,1540.0,14.0,False,False,,,,,,
2015,9,13,7,OO,3488,N224AG,PDX,BUR,1750,1748.0,-2.0,10.0,1758.0,131.0,120.0,107.0,817,1945.0,3.0,2001,1948.0,-13.0,False,False,,,,,,
2015,9,27,7,UA,1833,N27205,LAX,ORD,2240,2302.0,22.0,36.0,2338.0,239.0,249.0,206.0,1744,504.0,7.0,439,511.0,32.0,False,False,,10.0,0.0,22.0,0.0,0.0
2015,8,13,4,EV,4189,N14977,IAH,JAN,725,718.0,-7.0,13.0,731.0,82.0,76.0,58.0,351,829.0,5.0,847,834.0,-13.0,False,False,,,,,,
2015,7,28,2,AA,1948,N951UW,RDU,PHL,1800,1833.0,33.0,16.0,1849.0,90.0,80.0,62.0,337,1951.0,2.0,1930,1953.0,23.0,False,False,,0.0,0.0,0.0,23.0,0.0
2015,4,29,3,NK,912,N605NK,MCO,ORD,1726,1722.0,-4.0,12.0,1734.0,181.0,176.0,148.0,1005,1902.0,16.0,1927,1918.0,-9.0,False,False,,,,,,
2015,4,7,2,WN,1412,N603SW,BNA,MCI,955,951.0,-4.0,10.0,1001.0,100.0,100.0,87.0,491,1128.0,3.0,1135,1131.0,-4.0,False,False,,,,,,
2015,9,5,6,WN,5296,N553WN,MCO,ATL,1245,1240.0,-5.0,15.0,1255.0,100.0,92.0,67.0,404,1402.0,10.0,1425,1412.0,-13.0,False,False,,,,,,
2015,10,11,7,EV,5135,N858AS,10397,14098,1225,1312.0,47.0,13.0,1325.0,97.0,92.0,76.0,508,1441.0,3.0,1402,1444.0,42.0,False,False,,0.0,0.0,42.0,0.0,0.0
2015,7,5,7,DL,819,N344NB,BOS,MSP,830,827.0,-3.0,20.0,847.0,191.0,178.0,152.0,1124,1019.0,6.0,1041,1025.0,-16.0,False,False,,,,,,
2015,9,18,5,UA,1650,N75436,LAS,ORD,1414,1412.0,-2.0,22.0,1434.0,225.0,248.0,213.0,1514,2007.0,13.0,1959,2020.0,21.0,False,False,,21.0,0.0,0.0,0.0,0.0
2015,11,27,5,OO,5450,N960SW,DEN,LAR,1115,1116.0,1.0,24.0,1140.0,53.0,51.0,22.0,113,1202.0,5.0,1208,1207.0,-1.0,False,False,,,,,,
2015,4,12,7,B6,1007,N587JB,SEA,LGB,1733,1730.0,-3.0,18.0,1748.0,149.0,150.0,129.0,965,1957.0,3.0,2002,2000.0,-2.0,False,False,,,,,,
2015,8,13,4,OO,3447,N225AG,ONT,SEA,1745,1741.0,-4.0,14.0,1755.0,158.0,136.0,113.0,956,1948.0,9.0,2023,1957.0,-26.0,False,False,,,,,,
2015,11,19,4,WN,2373,N730SW,LAS,HOU,1400,1403.0,3.0,13.0,1416.0,175.0,163.0,146.0,1235,1842.0,4.0,1855,1846.0,-9.0,False,False,,,,,,
2015,5,31,7,EV,5329,N753EV,LGA,SAV,2045,,,,,139.0,,,722,,,2304,,,False,True,A,,,,,
2015,10,15,4,WN,2531,N8647A,13232,12892,820,822.0,2.0,10.0,832.0,275.0,260.0,235.0,1750,1027.0,15.0,1055,1042.0,-13.0,False,False,,,,,,
2015,5,9,6,OO,4984,N941SW,ORD,LNK,1950,1958.0,8.0,22.0,2020.0,96.0,98.0,73.0,466,2133.0,3.0,2126,2136.0,10.0,False,False,,,,,,
2015,4,16,4,VX,340,N835VA,SFO,FLL,820,820.0,0.0,14.0,834.0,320.0,332.0,308.0,2584,1642.0,10.0,1640,1652.0,12.0,False,False,,,,,,
2015,2,2,1,HA,236,N476HA,HNL,OGG,1755,1753.0,-2.0,12.0,1805.0,37.0,39.0,22.0,100,1827.0,5.0,1832,1832.0,0.0,False,False,,,,,,
2015,11,23,1,EV,5058,N867AS,DTW,LEX,1942,1939.0,-3.0,14.0,1953.0,84.0,63.0,44.0,296,2037.0,5.0,2106,2042.0,-24.0,False,False,,,,,,
2015,3,4,3,OO,5228,N703SK,SFO,MMH,1543,1542.0,-1.0,16.0,1558.0,63.0,62.0,42.0,193,1640.0,4.0,1646,1644.0,-2.0,False,False,,,,,,
2015,3,25,3,EV,5386,N848AS,DSM,DTW,1007,1009.0,2.0,12.0,1021.0,109.0,104.0,84.0,534,1245.0,8.0,1256,1253.0,-3.0,False,False,,,,,,
2015,12,25,5,EV,4337,N15983,ORD,ERI,1745,1740.0,-5.0,11.0,1751.0,85.0,69.0,52.0,398,1943.0,6.0,2010,1949.0,-21.0,False,False,,,,,,
2015,4,16,4,WN,21,N603SW,DAL,HOU,1200,1221.0,21.0,32.0,1253.0,60.0,84.0,49.0,239,1342.0,3.0,1300,1345.0,45.0,False,False,,24.0,0.0,0.0,0.0,21.0
2015,5,9,6,WN,1685,N751SW,SJU,FLL,600,553.0,-7.0,14.0,607.0,175.0,161.0,143.0,1046,830.0,4.0,855,834.0,-21.0,False,False,,,,,,
2015,7,16,4,EV,4668,N26545,IAH,MCI,907,900.0,-7.0,15.0,915.0,124.0,110.0,90.0,643,1045.0,5.0,1111,1050.0,-21.0,False,False,,,,,,
2015,6,17,3,WN,133,N7733B,ATL,HOU,1520,1541.0,21.0,21.0,1602.0,135.0,131.0,104.0,696,1646.0,6.0,1635,1652.0,17.0,False,False,,0.0,0.0,17.0,0.0,0.0
2015,5,15,5,AA,979,N4UBAA,COS,DFW,810,807.0,-3.0,15.0,822.0,115.0,137.0,83.0,592,1045.0,39.0,1105,1124.0,19.0,False,False,,19.0,0.0,0.0,0.0,0.0
2015,2,22,7,WN,1125,N8306H,LAS,BUF,1500,1456.0,-4.0,13.0,1509.0,250.0,218.0,201.0,1986,2130.0,4.0,2210,2134.0,-36.0,False,False,,,,,,
2015,7,11,6,WN,234,N264LV,LAS,DEN,855,857.0,2.0,9.0,906.0,110.0,92.0,76.0,628,1122.0,7.0,1145,1129.0,-16.0,False,False,,,,,,
2015,6,1,1,OO,2791,N886AS,PSP,PHX,657,648.0,-9.0,15.0,703.0,71.0,63.0,44.0,261,747.0,4.0,808,751.0,-17.0,False,False,,,,,,
2015,6,1,1,DL,865,N933DN,DTW,MSN,2145,2143.0,-2.0,12.0,2155.0,73.0,65.0,49.0,311,2144.0,4.0,2158,2148.0,-10.0,False,False,,,,,,
2015,4,15,3,OO,5449,N979SW,LAR,DEN,1228,1222.0,-6.0,11.0,1233.0,58.0,48.0,33.0,113,1306.0,4.0,1326,1310.0,-16.0,False,False,,,,,,
2015,8,21,5,WN,1711,N602SW,LAS,SMF,1620,1621.0,1.0,8.0,1629.0,85.0,85.0,73.0,397,1742.0,4.0,1745,1746.0,1.0,False,False,,,,,,
2015,9,26,6,DL,400,N835DN,PDX,JFK,701,703.0,2.0,11.0,714.0,329.0,308.0,289.0,2454,1503.0,8.0,1530,1511.0,-19.0,False,False,,,,,,
2015,7,11,6,WN,3721,N359SW,BNA,JAX,1500,1502.0,2.0,12.0,1514.0,85.0,87.0,69.0,483,1723.0,6.0,1725,1729.0,4.0,False,False,,,,,,
2015,12,28,1,AA,2373,N5ELAA,LAX,DFW,1800,1940.0,100.0,16.0,1956.0,174.0,163.0,144.0,1235,20.0,3.0,2254,23.0,89.0,False,False,,0.0,0.0,89.0,0.0,0.0
2015,4,13,1,WN,454,N644SW,PHX,ONT,1815,1815.0,0.0,9.0,1824.0,65.0,60.0,47.0,325,1911.0,4.0,1920,1915.0,-5.0,False,False,,,,,,
2015,6,3,3,WN,559,N244WN,CHS,MDW,635,655.0,20.0,11.0,706.0,130.0,118.0,104.0,745,750.0,3.0,745,753.0,8.0,False,False,,,,,,
2015,1,3,6,EV,5090,N933EV,MLU,ATL,1150,1144.0,-6.0,11.0,1155.0,86.0,104.0,76.0,448,1411.0,17.0,1416,1428.0,12.0,False,False,,,,,,
2015,7,20,1,WN,542,N483WN,OKC,LAS,1110,1125.0,15.0,8.0,1133.0,150.0,141.0,129.0,986,1142.0,4.0,1140,1146.0,6.0,False,False,,,,,,
2015,11,14,6,AS,423,N323AS,PDX,SEA,700,657.0,-3.0,14.0,711.0,55.0,48.0,25.0,129,736.0,9.0,755,745.0,-10.0,False,False,,,,,,
2015,11,29,7,WN,249,N7823A,ATL,RIC,935,933.0,-2.0,14.0,947.0,90.0,90.0,70.0,481,1057.0,6.0,1105,1103.0,-2.0,False,False,,,,,,
2015,11,12,4,DL,719,N893AT,MEM,DTW,1530,1544.0,14.0,14.0,1558.0,121.0,115.0,92.0,610,1830.0,9.0,1831,1839.0,8.0,False,False,,,,,,
2015,8,30,7,DL,751,N998AT,ATL,GRR,1104,1114.0,10.0,15.0,1129.0,113.0,103.0,84.0,640,1253.0,4.0,1257,1257.0,0.0,False,False,,,,,,
2015,12,29,2,AA,195,N348AA,MIA,MCO,939,947.0,8.0,10.0,957.0,69.0,54.0,39.0,192,1036.0,5.0,1048,1041.0,-7.0,False,False,,,,,,
2015,12,21,1,DL,1416,N557NW,ATL,JAX,1459,1504.0,5.0,13.0,1517.0,65.0,59.0,42.0,270,1559.0,4.0,1604,1603.0,-1.0,False,False,,,,,,
2015,8,13,4,DL,1381,N977AT,HSV,ATL,1820,1820.0,0.0,17.0,1837.0,75.0,68.0,30.0,151,2007.0,21.0,2035,2028.0,-7.0,False,False,,,,,,
2015,10,21,3,AS,75,N553AS,14747,12523,1100,1213.0,73.0,20.0,1233.0,157.0,140.0,115.0,909,1328.0,5.0,1237,1333.0,56.0,False,False,,0.0,0.0,56.0,0.0,0.0
2015,4,22,3,OO,4966,N727SK,PSP,SFO,600,556.0,-4.0,14.0,610.0,95.0,90.0,70.0,421,720.0,6.0,735,726.0,-9.0,False,False,,,,,,
2015,4,16,4,OO,5618,N237SW,PSP,LAX,1700,1723.0,23.0,11.0,1734.0,54.0,40.0,25.0,110,1759.0,4.0,1754,1803.0,9.0,False,False,,,,,,
2015,6,22,1,AA,1145,N3LXAA,ORD,SFO,720,729.0,9.0,11.0,740.0,282.0,282.0,266.0,1846,1006.0,5.0,1002,1011.0,9.0,False,False,,,,,,
2015,4,19,7,OO,6408,N726SK,SFO,EUG,1322,1312.0,-10.0,26.0,1338.0,98.0,97.0,66.0,451,1444.0,5.0,1500,1449.0,-11.0,False,False,,,,,,
2015,7,20,1,EV,4187,N16541,BNA,IAH,1429,1427.0,-2.0,14.0,1441.0,134.0,125.0,100.0,657,1621.0,11.0,1643,1632.0,-11.0,False,False,,,,,,
2015,9,26,6,MQ,3235,N668MQ,BMI,DFW,715,711.0,-4.0,13.0,724.0,140.0,132.0,101.0,690,905.0,18.0,935,923.0,-12.0,False,False,,,,,,
2015,11,10,2,AA,864,N754UW,BWI,CLT,1910,1906.0,-4.0,16.0,1922.0,91.0,84.0,63.0,361,2025.0,5.0,2041,2030.0,-11.0,False,False,,,,,,
2015,9,24,4,B6,678,N763JB,JAX,JFK,1108,1101.0,-7.0,13.0,1114.0,131.0,125.0,107.0,828,1301.0,5.0,1319,1306.0,-13.0,False,False,,,,,,
2015,7,25,6,AS,25,N459AS,BOS,SEA,840,828.0,-12.0,24.0,852.0,375.0,380.0,353.0,2496,1145.0,3.0,1155,1148.0,-7.0,False,False,,,,,,
2015,12,28,1,EV,4659,N13979,JAN,IAH,1512,1520.0,8.0,18.0,1538.0,90.0,97.0,67.0,351,1645.0,12.0,1642,1657.0,15.0,False,False,,7.0,0.0,5.0,3.0,0.0
2015,6,3,3,DL,1128,N308DE,EYW,ATL,1515,1508.0,-7.0,14.0,1522.0,125.0,,,646,1840.0,11.0,1720,1851.0,,True,False,,,,,,
2015,1,1,4,B6,1234,N216JB,SJU,MCO,2150,2139.0,-11.0,12.0,2151.0,181.0,193.0,166.0,1189,2337.0,15.0,2351,2352.0,1.0,False,False,,,,,,
2015,9,24,4,AA,681,N565UW,EWR,CLT,1829,1824.0,-5.0,37.0,1901.0,120.0,123.0,78.0,529,2019.0,8.0,2029,2027.0,-2.0,False,False,,,,,,
2015,10,27,2,WN,21,N563WN,11259,12191,1200,1200.0,0.0,9.0,1209.0,60.0,59.0,46.0,239,1255.0,4.0,1300,1259.0,-1.0,False,False,,,,,,
2015,3,27,5,AA,1618,N3KEAA,SNA,DFW,1546,1539.0,-7.0,9.0,1548.0,169.0,168.0,153.0,1205,2021.0,6.0,2035,2027.0,-8.0,False,False,,,,,,
2015,3,25,3,EV,5072,N132EV,ATL,IAH,1205,1200.0,-5.0,14.0,1214.0,137.0,127.0,104.0,689,1258.0,9.0,1322,1307.0,-15.0,False,False,,,,,,
2015,1,27,2,AA,160,,BOS,ORD,1007,,,,,173.0,,,867,,,1200,,,False,True,B,,,,,
2015,7,28,2,MQ,3335,N826MQ,AZO,ORD,1540,1532.0,-8.0,7.0,1539.0,60.0,53.0,38.0,122,1517.0,8.0,1540,1525.0,-15.0,False,False,,,,,,
2015,2,20,5,OO,5613,N580SW,SFO,BFL,1120,1137.0,17.0,25.0,1202.0,77.0,93.0,64.0,238,1306.0,4.0,1237,1310.0,33.0,False,False,,16.0,0.0,0.0,17.0,0.0
2015,5,27,3,HA,394,N492HA,LIH,HNL,1336,1347.0,11.0,10.0,1357.0,34.0,50.0,30.0,102,1427.0,10.0,1410,1437.0,27.0,False,False,,0.0,0.0,0.0,11.0,16.0
2015,9,21,1,WN,1326,N907WN,TPA,SAT,1500,1500.0,0.0,14.0,1514.0,155.0,156.0,136.0,972,1630.0,6.0,1635,1636.0,1.0,False,False,,,,,,
2015,4,17,5,WN,559,N706SW,CHS,MDW,635,631.0,-4.0,8.0,639.0,130.0,128.0,105.0,745,724.0,15.0,745,739.0,-6.0,False,False,,,,,,
2015,7,15,3,WN,4125,N402WN,SNA,SFO,1540,1551.0,11.0,10.0,1601.0,80.0,74.0,59.0,372,1700.0,5.0,1700,1705.0,5.0,False,False,,,,,,
2015,2,19,4,HA,178,N483HA,HNL,KOA,1453,1451.0,-2.0,12.0,1503.0,44.0,46.0,29.0,163,1532.0,5.0,1537,1537.0,0.0,False,False,,,,,,
2015,2,11,3,US,894,N152UW,RSW,CLT,1715,1708.0,-7.0,15.0,1723.0,116.0,115.0,90.0,600,1853.0,10.0,1911,1903.0,-8.0,False,False,,,,,,
2015,4,14,2,OO,4833,N603SK,LAX,OAK,710,706.0,-4.0,,,90.0,,,337,,,840,,,False,True,A,,,,,
2015,8,5,3,MQ,3167,N542MQ,LIT,ORD,1910,1906.0,-4.0,8.0,1914.0,113.0,96.0,78.0,552,2032.0,10.0,2103,2042.0,-21.0,False,False,,,,,,
2015,5,21,4,DL,1367,N964AT,ATL,GRR,831,830.0,-1.0,22.0,852.0,113.0,112.0,86.0,640,1018.0,4.0,1024,1022.0,-2.0,False,False,,,,,,
2015,10,27,2,WN,167,N8625A,14492,13232,1725,1716.0,-9.0,13.0,1729.0,125.0,115.0,96.0,632,1805.0,6.0,1830,1811.0,-19.0,False,False,,,,,,
2015,8,4,2,UA,1936,N68453,IAH,MIA,1250,1253.0,3.0,16.0,1309.0,155.0,150.0,130.0,964,1619.0,4.0,1625,1623.0,-2.0,False,False,,,,,,
2015,12,4,5,B6,493,N526JB,BOS,DEN,725,718.0,-7.0,13.0,731.0,288.0,253.0,235.0,1754,926.0,5.0,1013,931.0,-42.0,False,False,,,,,,
2015,7,29,3,EV,5107,N846AS,AGS,ATL,1858,1924.0,26.0,13.0,1937.0,61.0,52.0,31.0,143,2008.0,8.0,1959,2016.0,17.0,False,False,,0.0,0.0,0.0,17.0,0.0
2015,7,6,1,EV,4110,N13978,TUL,IAH,1848,,,,,92.0,,,429,,,2020,,,False,True,C,,,,,
2015,6,23,2,UA,656,N404UA,PVD,ORD,915,939.0,24.0,9.0,948.0,157.0,157.0,139.0,849,1107.0,9.0,1052,1116.0,24.0,False,False,,0.0,0.0,24.0,0.0,0.0
2015,3,12,4,UA,319,N811UA,EWR,ATL,1400,1350.0,-10.0,23.0,1413.0,153.0,151.0,121.0,746,1614.0,7.0,1633,1621.0,-12.0,False,False,,,,,,
2015,8,27,4,DL,2433,N959AT,ATL,MSY,855,930.0,35.0,8.0,938.0,87.0,76.0,64.0,425,942.0,4.0,922,946.0,24.0,False,False,,0.0,0.0,24.0,0.0,0.0
2015,11,2,1,DL,1297,N6708D,ATL,SRQ,1415,1413.0,-2.0,18.0,1431.0,95.0,87.0,65.0,444,1536.0,4.0,1550,1540.0,-10.0,False,False,,,,,,
2015,2,19,4,UA,264,N802UA,SLC,IAH,809,807.0,-2.0,13.0,820.0,181.0,165.0,141.0,1195,1141.0,11.0,1210,1152.0,-18.0,False,False,,,,,,
2015,4,10,5,DL,2096,N301NB,LGA,MSP,1424,1456.0,32.0,31.0,1527.0,186.0,179.0,144.0,1020,1651.0,4.0,1630,1655.0,25.0,False,False,,0.0,0.0,9.0,16.0,0.0
2015,8,8,6,WN,3243,N552WN,ATL,SFO,900,859.0,-1.0,14.0,913.0,310.0,292.0,271.0,2139,1044.0,7.0,1110,1051.0,-19.0,False,False,,,,,,
2015,2,8,7,EV,4220,N17524,BRO,IAH,1646,1637.0,-9.0,8.0,1645.0,76.0,72.0,57.0,308,1742.0,7.0,1802,1749.0,-13.0,False,False,,,,,,
2015,4,18,6,AA,119,N381AA,DFW,OGG,1050,1048.0,-2.0,18.0,1106.0,502.0,482.0,458.0,3711,1344.0,6.0,1412,1350.0,-22.0,False,False,,,,,,
2015,5,19,2,MQ,3182,N817MQ,ORD,HPN,1500,1456.0,-4.0,10.0,1506.0,136.0,110.0,96.0,738,1742.0,4.0,1816,1746.0,-30.0,False,False,,,,,,
2015,3,16,1,EV,5291,N611QX,MSP,IAH,1725,1756.0,31.0,19.0,1815.0,176.0,166.0,142.0,1034,2037.0,5.0,2021,2042.0,21.0,False,False,,0.0,0.0,21.0,0.0,0.0
2015,3,15,7,NK,107,N601NK,DFW,SAN,845,842.0,-3.0,14.0,856.0,189.0,168.0,147.0,1171,923.0,7.0,954,930.0,-24.0,False,False,,,,,,
2015,5,21,4,AA,1175,N3ELAA,LGA,MIA,1220,1236.0,16.0,16.0,1252.0,188.0,180.0,160.0,1096,1532.0,4.0,1528,1536.0,8.0,False,False,,,,,,
